Image Index,Correct,Predicted Orig,Predicted Adv,L2 Distance,Linf Distance,Top-5,Top-10,Top-15,Top-20,Top-50
0,cat,cat,frog,0.17433840036392212,0.04413621872663498,100.0,80.0,93.33333333333333,100.0,94.0
1,ship,airplane,airplane,0.6910955905914307,0.26916250586509705,60.0,100.0,93.33333333333333,95.0,94.0
2,ship,ship,automobile,0.8806014060974121,0.3223985731601715,60.0,80.0,80.0,80.0,92.0
3,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
4,frog,frog,deer,0.32509708404541016,0.08497294783592224,100.0,90.0,100.0,95.0,94.0
5,frog,frog,cat,0.4497155547142029,0.10835225880146027,80.0,90.0,86.66666666666667,95.0,96.0
6,automobile,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
7,frog,frog,truck,0.8227770924568176,0.15192505717277527,100.0,80.0,73.33333333333333,85.0,90.0
8,cat,cat,dog,0.4809577167034149,0.11749306321144104,100.0,80.0,86.66666666666667,95.0,94.0
9,automobile,automobile,truck,0.5109509229660034,0.14587678015232086,60.0,80.0,93.33333333333333,90.0,90.0
10,airplane,airplane,horse,1.0939381122589111,0.28200066089630127,80.0,70.0,80.0,75.0,82.0
11,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
12,dog,dog,horse,0.792203426361084,0.21838167309761047,80.0,80.0,86.66666666666667,85.0,90.0
13,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
14,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
15,ship,airplane,frog,0.28765061497688293,0.08766895532608032,60.0,90.0,86.66666666666667,90.0,98.0
16,dog,dog,cat,0.5246262550354004,0.17618568241596222,100.0,90.0,86.66666666666667,95.0,94.0
17,horse,horse,truck,0.6588338613510132,0.24344107508659363,60.0,70.0,93.33333333333333,70.0,94.0
18,ship,ship,airplane,0.6307756304740906,0.2452169954776764,80.0,90.0,80.0,95.0,92.0
19,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
20,horse,horse,airplane,1.146845817565918,0.21916677057743073,60.0,80.0,73.33333333333333,65.0,80.0
21,airplane,airplane,bird,0.33458688855171204,0.06819547712802887,80.0,90.0,93.33333333333333,100.0,98.0
22,deer,airplane,airplane,0.6712721586227417,0.16392207145690918,80.0,60.0,80.0,85.0,94.0
23,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
24,dog,dog,cat,0.4912937581539154,0.14636772871017456,100.0,60.0,73.33333333333333,90.0,94.0
25,bird,bird,cat,0.3992643654346466,0.0704277828335762,80.0,100.0,80.0,85.0,92.0
26,deer,deer,cat,0.5873718857765198,0.13424605131149292,40.0,60.0,66.66666666666666,95.0,92.0
27,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
28,truck,truck,truck,0.6235297918319702,0.18108269572257996,60.0,80.0,86.66666666666667,80.0,88.0
29,frog,frog,cat,0.5158573389053345,0.11246892809867859,80.0,80.0,93.33333333333333,90.0,94.0
30,frog,frog,cat,0.35659870505332947,0.07871115207672119,80.0,90.0,80.0,100.0,98.0
31,dog,dog,frog,0.3520534932613373,0.0755496621131897,100.0,100.0,86.66666666666667,90.0,96.0
32,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
33,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
34,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
35,bird,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
36,deer,deer,horse,0.6487795114517212,0.18984286487102509,80.0,80.0,86.66666666666667,85.0,92.0
37,automobile,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
38,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
39,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
40,deer,deer,airplane,0.432767391204834,0.07889807224273682,80.0,80.0,86.66666666666667,95.0,94.0
41,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
42,dog,cat,cat,0.2733319103717804,0.07084625959396362,80.0,100.0,93.33333333333333,85.0,98.0
43,frog,frog,cat,0.2783573269844055,0.05799195170402527,100.0,90.0,100.0,85.0,96.0
44,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
45,truck,truck,automobile,0.40868884325027466,0.08486200124025345,100.0,80.0,93.33333333333333,90.0,94.0
46,cat,cat,deer,0.7361208200454712,0.2253589779138565,80.0,80.0,86.66666666666667,90.0,90.0
47,truck,truck,airplane,0.33339810371398926,0.09649872779846191,80.0,90.0,93.33333333333333,95.0,98.0
48,horse,horse,deer,0.5271106362342834,0.22599373757839203,80.0,90.0,86.66666666666667,80.0,96.0
49,frog,frog,bird,0.27040570974349976,0.0525369793176651,80.0,90.0,93.33333333333333,90.0,98.0
50,truck,truck,airplane,0.3192293643951416,0.06969711184501648,80.0,90.0,93.33333333333333,95.0,96.0
51,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
52,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
53,cat,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
54,ship,ship,airplane,0.6021894812583923,0.22880388796329498,80.0,90.0,86.66666666666667,95.0,96.0
55,ship,ship,bird,0.8957229852676392,0.18409310281276703,80.0,90.0,86.66666666666667,75.0,88.0
56,horse,horse,horse,0.6042786240577698,0.16923831403255463,100.0,90.0,86.66666666666667,90.0,94.0
57,horse,horse,cat,0.6503000259399414,0.16594260931015015,100.0,70.0,100.0,85.0,90.0
58,deer,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
59,frog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
60,horse,horse,deer,0.34967076778411865,0.07717939466238022,100.0,90.0,93.33333333333333,95.0,96.0
61,cat,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
62,frog,frog,cat,0.442928671836853,0.09621542692184448,80.0,90.0,86.66666666666667,95.0,94.0
63,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
64,frog,frog,cat,0.5443518757820129,0.17226256430149078,100.0,90.0,86.66666666666667,90.0,92.0
65,bird,bird,frog,0.7321593761444092,0.3156434893608093,80.0,80.0,80.0,85.0,90.0
66,automobile,automobile,ship,0.7355737686157227,0.2587568759918213,100.0,80.0,73.33333333333333,75.0,92.0
67,bird,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
68,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
69,horse,horse,horse,0.4383487105369568,0.12821778655052185,80.0,90.0,80.0,85.0,94.0
70,bird,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
71,frog,frog,cat,1.184259295463562,0.28237059712409973,100.0,90.0,93.33333333333333,85.0,88.0
72,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
73,ship,ship,airplane,0.5083540678024292,0.20670008659362793,100.0,90.0,100.0,90.0,94.0
74,airplane,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
75,bird,bird,airplane,0.7026081085205078,0.18253464996814728,60.0,70.0,86.66666666666667,90.0,94.0
76,truck,truck,horse,0.6003499627113342,0.17726387083530426,60.0,90.0,86.66666666666667,90.0,92.0
77,cat,cat,cat,0.6183226108551025,0.2405095100402832,100.0,80.0,93.33333333333333,85.0,92.0
78,cat,cat,dog,0.4589952230453491,0.1102844625711441,80.0,90.0,86.66666666666667,85.0,96.0
79,ship,ship,airplane,0.20379826426506042,0.044185906648635864,80.0,90.0,93.33333333333333,95.0,94.0
80,ship,ship,airplane,0.6775239109992981,0.3258070945739746,100.0,90.0,86.66666666666667,90.0,90.0
81,automobile,automobile,truck,0.19799812138080597,0.03914070874452591,80.0,90.0,86.66666666666667,95.0,94.0
82,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
83,horse,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
84,bird,bird,cat,0.3905317187309265,0.08416509628295898,80.0,90.0,86.66666666666667,100.0,92.0
85,dog,dog,truck,0.4196728467941284,0.09190061688423157,80.0,90.0,93.33333333333333,100.0,96.0
86,bird,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
87,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
88,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
89,truck,truck,airplane,0.47308170795440674,0.15761056542396545,100.0,90.0,80.0,85.0,96.0
90,airplane,airplane,ship,1.0391956567764282,0.38188788294792175,60.0,90.0,93.33333333333333,95.0,90.0
91,cat,cat,frog,0.7471879124641418,0.24691078066825867,60.0,90.0,93.33333333333333,85.0,88.0
92,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
93,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
94,deer,deer,bird,0.5120506286621094,0.144749253988266,80.0,90.0,80.0,90.0,94.0
95,frog,frog,frog,0.2136012613773346,0.044642120599746704,100.0,90.0,93.33333333333333,95.0,96.0
96,frog,frog,bird,0.2357681691646576,0.08821739256381989,80.0,80.0,86.66666666666667,95.0,98.0
97,airplane,airplane,deer,0.534845769405365,0.10617756098508835,80.0,100.0,93.33333333333333,85.0,92.0
98,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
99,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
100,deer,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
101,dog,dog,ship,0.3773249685764313,0.08080804347991943,100.0,100.0,86.66666666666667,90.0,96.0
102,frog,frog,cat,0.20657595992088318,0.060299813747406006,80.0,90.0,93.33333333333333,100.0,96.0
103,cat,cat,cat,0.38765138387680054,0.09509626030921936,80.0,70.0,93.33333333333333,80.0,98.0
104,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
105,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
106,cat,cat,cat,0.4696824848651886,0.1739734709262848,80.0,90.0,100.0,100.0,96.0
107,frog,frog,frog,0.24005341529846191,0.06423437595367432,80.0,80.0,93.33333333333333,100.0,96.0
108,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
109,horse,horse,dog,0.42721596360206604,0.12860174477100372,80.0,100.0,93.33333333333333,95.0,96.0
110,deer,deer,frog,0.25451889634132385,0.06373684108257294,80.0,90.0,93.33333333333333,100.0,96.0
111,airplane,airplane,ship,0.2992357909679413,0.0748443603515625,100.0,80.0,80.0,95.0,96.0
112,frog,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
113,bird,bird,cat,0.950056254863739,0.18221595883369446,80.0,70.0,66.66666666666666,70.0,86.0
114,automobile,automobile,truck,0.3264522850513458,0.09291698038578033,100.0,90.0,93.33333333333333,90.0,96.0
115,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
116,airplane,airplane,deer,0.6559529900550842,0.16893786191940308,80.0,90.0,80.0,85.0,96.0
117,deer,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
118,bird,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
119,horse,cat,cat,0.7323456406593323,0.19815696775913239,100.0,90.0,80.0,85.0,90.0
120,ship,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
121,cat,cat,dog,0.30062776803970337,0.0657254010438919,80.0,100.0,93.33333333333333,90.0,98.0
122,automobile,automobile,truck,0.376563161611557,0.11068426072597504,100.0,90.0,86.66666666666667,90.0,96.0
123,bird,bird,airplane,0.4967120587825775,0.13460613787174225,60.0,70.0,93.33333333333333,85.0,98.0
124,ship,ship,airplane,0.2974381744861603,0.09947995096445084,100.0,100.0,86.66666666666667,100.0,100.0
125,airplane,airplane,automobile,0.4852716028690338,0.10912896692752838,80.0,90.0,93.33333333333333,90.0,94.0
126,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
127,cat,cat,horse,0.5028194785118103,0.1830553412437439,100.0,70.0,86.66666666666667,90.0,92.0
128,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
129,bird,bird,airplane,0.7031351923942566,0.246780127286911,60.0,50.0,60.0,75.0,90.0
130,deer,deer,frog,0.4011603891849518,0.0759337991476059,100.0,80.0,86.66666666666667,95.0,96.0
131,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
132,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
133,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
134,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
135,bird,bird,cat,1.1074362993240356,0.4050629734992981,80.0,70.0,73.33333333333333,75.0,82.0
136,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
137,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
138,bird,bird,frog,0.33906951546669006,0.10570244491100311,80.0,90.0,80.0,95.0,96.0
139,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
140,frog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
141,dog,dog,bird,0.17610499262809753,0.04262605309486389,100.0,90.0,93.33333333333333,95.0,98.0
142,frog,frog,frog,0.4963776767253876,0.14787468314170837,80.0,90.0,86.66666666666667,85.0,96.0
143,cat,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
144,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
145,horse,horse,cat,0.34201928973197937,0.05991873890161514,80.0,90.0,86.66666666666667,95.0,98.0
146,frog,frog,bird,0.3111439049243927,0.08816468715667725,80.0,90.0,86.66666666666667,90.0,94.0
147,bird,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
148,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
149,bird,bird,cat,0.8162121176719666,0.20226454734802246,60.0,80.0,93.33333333333333,75.0,94.0
150,ship,ship,airplane,0.18884815275669098,0.043237075209617615,100.0,90.0,93.33333333333333,95.0,96.0
151,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
152,frog,frog,cat,0.3277716636657715,0.06464537978172302,100.0,90.0,93.33333333333333,90.0,94.0
153,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
154,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
155,dog,frog,frog,0.644324004650116,0.16000717878341675,80.0,70.0,80.0,80.0,92.0
156,bird,bird,cat,0.9478896260261536,0.21156196296215057,60.0,90.0,86.66666666666667,80.0,88.0
157,truck,truck,airplane,0.5897772312164307,0.19406405091285706,80.0,70.0,93.33333333333333,90.0,94.0
158,dog,cat,cat,0.48085591197013855,0.10486182570457458,80.0,80.0,86.66666666666667,85.0,96.0
159,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
160,bird,bird,airplane,0.5298388004302979,0.18339583277702332,80.0,80.0,80.0,85.0,94.0
161,automobile,automobile,truck,0.4255450367927551,0.16796018183231354,80.0,90.0,93.33333333333333,80.0,96.0
162,frog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
163,frog,frog,bird,0.2707864046096802,0.11062633991241455,100.0,90.0,86.66666666666667,90.0,98.0
164,ship,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
165,deer,deer,truck,0.4790385663509369,0.11504527926445007,80.0,100.0,93.33333333333333,90.0,92.0
166,ship,ship,airplane,0.48428261280059814,0.1846734881401062,80.0,90.0,93.33333333333333,90.0,92.0
167,deer,frog,frog,0.42916205525398254,0.0837305337190628,80.0,90.0,86.66666666666667,90.0,92.0
168,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
169,airplane,airplane,ship,0.6237271428108215,0.1939404308795929,80.0,100.0,93.33333333333333,75.0,96.0
170,truck,truck,airplane,0.7081323862075806,0.16948679089546204,80.0,70.0,86.66666666666667,85.0,90.0
171,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
172,truck,truck,ship,0.4323597252368927,0.12272873520851135,80.0,100.0,86.66666666666667,80.0,94.0
173,ship,ship,airplane,0.3867543637752533,0.0652783215045929,100.0,80.0,80.0,80.0,94.0
174,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
175,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
176,cat,cat,cat,0.41312190890312195,0.10115048289299011,60.0,90.0,80.0,80.0,92.0
177,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
178,dog,dog,bird,0.2846045196056366,0.09436184167861938,100.0,100.0,93.33333333333333,95.0,96.0
179,airplane,airplane,ship,0.3132482171058655,0.07273975014686584,100.0,70.0,93.33333333333333,100.0,96.0
180,airplane,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
181,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
182,bird,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
183,bird,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
184,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
185,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
186,frog,frog,frog,0.35254600644111633,0.08428594470024109,80.0,90.0,93.33333333333333,95.0,94.0
187,cat,cat,bird,0.2792632579803467,0.08380478620529175,100.0,100.0,86.66666666666667,90.0,98.0
188,deer,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
189,airplane,airplane,ship,0.3820229470729828,0.14021405577659607,80.0,90.0,93.33333333333333,95.0,96.0
190,dog,dog,frog,0.36224764585494995,0.0920114815235138,80.0,90.0,93.33333333333333,100.0,94.0
191,ship,ship,truck,0.5503405332565308,0.10308309644460678,60.0,80.0,86.66666666666667,90.0,90.0
192,airplane,airplane,cat,0.6084871888160706,0.12104761600494385,80.0,70.0,86.66666666666667,80.0,90.0
193,automobile,automobile,airplane,0.6466816067695618,0.20787572860717773,80.0,90.0,93.33333333333333,90.0,92.0
194,horse,horse,deer,0.4528298079967499,0.1280302256345749,80.0,90.0,80.0,85.0,96.0
195,bird,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
196,ship,ship,truck,0.7406898140907288,0.261130690574646,80.0,70.0,86.66666666666667,85.0,94.0
197,ship,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
198,horse,cat,cat,0.5873401165008545,0.17559419572353363,100.0,90.0,80.0,80.0,98.0
199,ship,ship,cat,0.5711216330528259,0.10760632157325745,60.0,70.0,86.66666666666667,90.0,92.0
200,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
201,automobile,airplane,airplane,0.5038365721702576,0.12792962789535522,80.0,80.0,86.66666666666667,85.0,90.0
202,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
203,horse,horse,truck,0.5464895367622375,0.1082984209060669,80.0,80.0,86.66666666666667,85.0,92.0
204,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
205,cat,cat,cat,0.2946365773677826,0.06503436714410782,100.0,90.0,93.33333333333333,90.0,98.0
206,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
207,dog,dog,deer,0.3598165810108185,0.0625767931342125,100.0,80.0,93.33333333333333,90.0,96.0
208,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
209,truck,truck,automobile,0.38024601340293884,0.1021154522895813,80.0,100.0,73.33333333333333,90.0,94.0
210,horse,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
211,deer,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
212,dog,dog,bird,0.3679702579975128,0.09420320391654968,80.0,90.0,86.66666666666667,90.0,96.0
213,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
214,ship,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
215,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
216,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
217,truck,truck,automobile,0.36287325620651245,0.07463520020246506,100.0,80.0,80.0,90.0,94.0
218,ship,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
219,bird,bird,deer,0.2744150161743164,0.09525112062692642,100.0,100.0,93.33333333333333,90.0,98.0
220,horse,horse,deer,0.46636298298835754,0.15960773825645447,80.0,100.0,100.0,95.0,96.0
221,frog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
222,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
223,deer,horse,horse,0.34247174859046936,0.09282778948545456,100.0,90.0,100.0,90.0,98.0
224,cat,cat,deer,0.7642767429351807,0.16521936655044556,60.0,70.0,80.0,75.0,92.0
225,truck,truck,automobile,0.5026601552963257,0.1539890617132187,80.0,80.0,86.66666666666667,90.0,96.0
226,frog,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
227,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
228,horse,horse,cat,0.30597245693206787,0.07294845581054688,100.0,100.0,86.66666666666667,95.0,92.0
229,frog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
230,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
231,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
232,dog,dog,frog,0.6440433859825134,0.22546568512916565,60.0,60.0,86.66666666666667,85.0,96.0
233,ship,ship,automobile,0.8099346160888672,0.2463526874780655,100.0,90.0,93.33333333333333,85.0,94.0
234,ship,ship,airplane,1.1311484575271606,0.46641743183135986,80.0,80.0,86.66666666666667,95.0,92.0
235,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
236,deer,deer,frog,0.9469980597496033,0.17538844048976898,60.0,90.0,93.33333333333333,75.0,86.0
237,airplane,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
238,dog,dog,frog,0.5455313920974731,0.16363731026649475,80.0,90.0,80.0,80.0,98.0
239,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
240,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
241,automobile,automobile,truck,0.3526654541492462,0.07250041514635086,100.0,90.0,86.66666666666667,90.0,94.0
242,ship,ship,airplane,0.9408818483352661,0.1658841371536255,60.0,80.0,86.66666666666667,85.0,88.0
243,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
244,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
245,cat,cat,frog,0.8044658303260803,0.27757179737091064,60.0,90.0,80.0,95.0,86.0
246,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
247,truck,truck,ship,1.0381624698638916,0.20403990149497986,80.0,70.0,86.66666666666667,85.0,84.0
248,bird,bird,airplane,0.4808047413825989,0.10786768049001694,60.0,70.0,80.0,85.0,94.0
249,bird,bird,frog,0.3890957236289978,0.07932105660438538,80.0,80.0,86.66666666666667,90.0,94.0
250,dog,cat,cat,0.8125162124633789,0.30464306473731995,80.0,70.0,66.66666666666666,70.0,94.0
251,cat,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
252,truck,truck,automobile,0.40101149678230286,0.10001933574676514,100.0,90.0,86.66666666666667,90.0,96.0
253,truck,truck,automobile,0.45189619064331055,0.13934655487537384,80.0,100.0,80.0,90.0,94.0
254,deer,deer,frog,0.408066064119339,0.10052291303873062,100.0,70.0,86.66666666666667,90.0,92.0
255,airplane,airplane,ship,0.4894416034221649,0.1344737410545349,80.0,90.0,73.33333333333333,80.0,94.0
256,cat,cat,frog,0.3186095356941223,0.10878333449363708,80.0,100.0,100.0,95.0,94.0
257,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
258,airplane,airplane,airplane,0.4582352936267853,0.15113575756549835,80.0,90.0,93.33333333333333,90.0,90.0
259,truck,truck,automobile,0.31750360131263733,0.08496823906898499,100.0,100.0,93.33333333333333,90.0,92.0
260,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
261,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
262,dog,dog,bird,0.7117674946784973,0.18396924436092377,80.0,70.0,86.66666666666667,85.0,86.0
263,horse,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
264,airplane,airplane,ship,0.33518147468566895,0.06270425021648407,100.0,90.0,93.33333333333333,100.0,96.0
265,ship,ship,airplane,0.8549277782440186,0.21139134466648102,60.0,80.0,86.66666666666667,80.0,90.0
266,bird,bird,airplane,0.8395321369171143,0.2068178355693817,100.0,60.0,73.33333333333333,70.0,92.0
267,deer,deer,frog,0.4289686977863312,0.09837053716182709,100.0,80.0,93.33333333333333,90.0,92.0
268,horse,horse,dog,0.8268426656723022,0.23182156682014465,60.0,70.0,80.0,85.0,82.0
269,airplane,airplane,cat,0.6429285407066345,0.1478756070137024,60.0,70.0,80.0,90.0,88.0
270,bird,bird,horse,0.5223286151885986,0.2639237940311432,100.0,80.0,80.0,90.0,96.0
271,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
272,frog,frog,cat,0.37449440360069275,0.08859676122665405,80.0,80.0,86.66666666666667,95.0,94.0
273,cat,cat,horse,0.39581382274627686,0.0793050229549408,100.0,90.0,86.66666666666667,90.0,98.0
274,ship,ship,truck,0.5911261439323425,0.12686914205551147,80.0,80.0,86.66666666666667,90.0,92.0
275,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
276,airplane,airplane,automobile,0.41073542833328247,0.10748127102851868,80.0,100.0,100.0,95.0,94.0
