Image Index,Correct,Predicted Orig,Predicted Adv,L2 Distance,Linf Distance,Top-5,Top-10,Top-15,Top-20,Top-50
0,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
1,ship,airplane,airplane,0.010134265758097172,0.0033606290817260742,100.0,100.0,100.0,100.0,100.0
2,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
3,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
4,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
5,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
6,automobile,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
7,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
8,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
9,automobile,automobile,automobile,0.0,0.0,100.0,100.0,100.0,100.0,100.0
10,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
11,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
12,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
13,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
14,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
15,ship,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
16,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
17,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
18,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
19,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
20,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
21,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
22,deer,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
23,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
24,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
25,bird,bird,bird,0.0,0.0,100.0,100.0,100.0,100.0,100.0
26,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
27,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
28,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
29,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
30,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
31,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
32,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
33,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
34,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
35,bird,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
36,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
37,automobile,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
38,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
39,dog,dog,dog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
40,deer,deer,deer,0.0,0.0,100.0,100.0,100.0,100.0,100.0
41,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
42,dog,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
43,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
44,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
45,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
46,cat,cat,cat,0.0,0.0,100.0,100.0,100.0,100.0,100.0
47,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
48,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
49,frog,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
50,truck,truck,truck,0.0,0.0,100.0,100.0,100.0,100.0,100.0
51,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
52,airplane,airplane,airplane,0.0,0.0,100.0,100.0,100.0,100.0,100.0
53,cat,frog,frog,0.0,0.0,100.0,100.0,100.0,100.0,100.0
54,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
55,ship,ship,ship,0.0,0.0,100.0,100.0,100.0,100.0,100.0
56,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
57,horse,horse,horse,0.0,0.0,100.0,100.0,100.0,100.0,100.0
