Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
1e-05,84.375,83.59375,1.0013580322265625e-05
1e-05,78.125,77.34375,1.0013580322265625e-05
1e-05,85.15625,84.375,1.0013580322265625e-05
1e-05,86.71875,86.71875,0.0
1e-05,89.0625,89.0625,0.0
1e-05,82.03125,82.03125,0.0
1e-05,82.03125,80.46875,1.0013580322265625e-05
1e-05,92.3076923076923,90.38461538461539,1.0013580322265625e-05

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
1e-05,84.97596153846153,84.24729567307692,6.258487701416016e-06
