Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
1e-05,82.03125,80.46875,1.0013580322265625e-05
1e-05,79.6875,79.6875,0.0
1e-05,83.59375,83.59375,0.0
1e-05,87.5,85.9375,1.0013580322265625e-05
1e-05,87.5,86.71875,1.0013580322265625e-05
1e-05,85.9375,85.15625,1.0013580322265625e-05
1e-05,81.25,81.25,0.0
1e-05,75.0,91.34615384615384,1.0013580322265625e-05 ----------- wrong calculation of initial acc
_, 92.31

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
1e-05,82.8125,84.26983173076923,6.258487701416016e-06 ----------- wrong calculation of initial acc
_, 84.98
