Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.01,84.375,71.875,0.010000189766287804
0.01,78.125,63.28125,0.01000015065073967
0.01,85.15625,74.21875,0.010000229813158512
0.01,86.71875,75.78125,0.010000084526836872
0.01,89.0625,71.875,0.010000110603868961
0.01,82.03125,66.40625,0.010000202804803848
0.01,82.03125,65.625,0.010000145994126797
0.01,92.3076923076923,81.73076923076923,0.010000110603868961

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.01,84.97596153846153,71.34915865384616,0.010000153095461428
