Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.005,82.03125,76.5625,0.005000091623514891
0.005,79.6875,68.75,0.005000106990337372
0.005,83.59375,80.46875,0.005000093020498753
0.005,87.5,82.8125,0.005000223871320486
0.005,87.5,82.03125,0.005000130273401737
0.005,85.9375,73.4375,0.0050002047792077065
0.005,81.25,74.21875,0.00500020757317543
0.005,92.3076923076923,86.53846153846155,0.005000054836273193

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.005,84.97596153846153,78.1024639423077,0.005000139120966196
