Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.005,74.21875,67.96875,0.005000146571546793
0.005,74.21875,67.96875,0.005000169854611158
0.005,82.03125,70.3125,0.0050001004710793495
0.005,78.125,70.3125,0.005000114440917969
0.005,78.125,70.3125,0.00500014191493392
0.005,74.21875,66.40625,0.00500011770054698
0.005,70.3125,60.9375,0.005000070668756962
0.005,80.76923076923077,76.92307692307693,0.005000074859708548

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.005,76.50240384615384,68.89272836538461,0.00500011706026271
