Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.0005,84.375,54.6875,0.000500023365020752
0.0005,78.125,54.6875,0.000500023365020752
0.0005,85.15625,57.03125,0.000500023365020752
0.0005,86.71875,59.375,0.000500023365020752
0.0005,89.0625,54.6875,0.000500023365020752
0.0005,82.03125,50.78125,0.000500023365020752
0.0005,82.03125,48.4375,0.000500023365020752
0.0005,92.3076923076923,66.34615384615384,0.000500023365020752

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.0005,84.97596153846153,55.754206730769226,0.000500023365020752
