Epsilon,Initial Accuracy,Robust Accuracy,Max Perturbation
0.0005,82.03125,57.8125,0.000500023365020752
0.0005,79.6875,55.46875,0.000500023365020752
0.0005,83.59375,58.59375,0.000500023365020752
0.0005,87.5,62.5,0.000500023365020752
0.0005,87.5,60.15625,0.000500023365020752
0.0005,85.9375,54.6875,0.000500023365020752
0.0005,81.25,53.125,0.000500023365020752
0.0005,75.0,64.42307692307693,0.000500023365020752 ----------- wrong calculation of initial acc 
_, 92.31, _, _

Mean for Epsilon,Mean Initial Accuracy,Mean Robust Accuracy,Mean Max Perturbation
0.0005,82.8125,58.34585336538461,0.000500023365020752 ----------- wrong calculation of initial acc 
_, 84.98
